시도명,선거구명,구시군명,읍면동명,투표타입,선거인수,투표수,후보자별 득표수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,계,"무효
투표수",기권수
서울특별시,종로구,종로구,,,,,"더불어민주당
곽상언","국민의힘
최재형","새로운미래
진예찬","개혁신당
금태섭","가락특권폐지당
김준수","대한국민당
김종갑","민중민주당
차은정",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,송정동제2투,"1,849",939,476,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,19,910
,,,,송정동제3투,"1,960",967,461,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,27,993
,,,용답동,소계,"10,280","5,985","3,434","2,442",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,876",109,"4,295"
,,,,관내사전투표,"2,668","2,668","1,746",894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,640",28,0
,,,,용답동제1투,"3,578","1,369",727,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,340",29,"2,209"
,,,,용답동제2투,"2,180","1,053",527,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,030",23,"1,127"
,,,,용답동제3투,"1,854",895,434,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,29,959
,,,잘못 투입·구분된 투표지,,0,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,-4
,중구성동구을,중구,,,,,"더불어민주당
박성준","국민의힘
이혜훈","한국국민당
김영기",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,"177,422","123,087","61,728","58,961",787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,476","1,611","54,335"
,,,거소·선상투표,,192,179,96,77,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,3,13
,,,관외사전투표,,"14,275","14,267","8,190","5,773",114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,077",190,8
,,,국외부재자투표,,979,736,488,238,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,7,243
,,,소공동,소계,"1,818","1,227",577,637,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,219",8,591
,,,,관내사전투표,512,512,304,204,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509,3,0
,,,,소공동제1투,298,122,44,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,1,176
,,,,소공동제2투,"1,008",593,229,357,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,4,415
,,,회현동,소계,"3,709","2,289",919,"1,326",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,251",38,"1,420"
,,,,관내사전투표,"1,066","1,066",512,540,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,053",13,0
,,,,회현동제1투,"2,141",965,311,633,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948,17,"1,176"
,,,,회현동제2투,502,258,96,153,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,8,244
,,,명동,소계,"2,116","1,323",606,696,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,308",15,793
,,,,관내사전투표,685,685,368,308,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,5,0
,,,,명동제1투,"1,329",608,229,367,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,10,721
,,,,명동제2투,102,30,9,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,0,72
,,,필동,소계,"4,288","2,950","1,526","1,342",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,894",56,"1,338"
,,,,관내사전투표,"1,779","1,779","1,039",701,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,751",28,0
,,,,필동제1투,"1,188",569,218,326,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554,15,619
,,,,필동제2투,"1,321",602,269,315,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,13,719
,,,장충동,소계,"4,112","2,640","1,374","1,189",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,580",60,"1,472"
,,,,관내사전투표,"1,190","1,190",686,478,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,171",19,0
,,,,장충동제1투,"1,443",739,343,375,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723,16,704
,,,,장충동제2투,"1,479",711,345,336,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,25,768
,,,광희동,소계,"4,328","2,418","1,078","1,281",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,372",46,"1,910"
,,,,관내사전투표,572,572,334,231,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566,6,0
,,,,광희동제1투,"1,299",577,230,324,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,17,722
,,,,광희동제2투,"2,457","1,269",514,726,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,246",23,"1,188"
,,,을지로동,소계,"2,726","1,794",890,873,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,772",22,932
,,,,관내사전투표,878,878,512,360,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873,5,0
,,,,을지로동제1투,"1,282",621,248,353,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,13,661
,,,,을지로동제2투,566,295,130,160,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,4,271
,,,신당동,소계,"6,958","4,414","2,380","1,928",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,334",80,"2,544"
,,,,관내사전투표,"2,146","2,146","1,324",776,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,115",31,0
,,,,신당동제1투,"1,611",678,328,334,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,15,933
,,,,신당동제2투,"1,721",835,384,427,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,19,886
,,,,신당동제3투,"1,480",755,344,391,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,15,725
,,,다산동,소계,"10,396","6,435","3,386","2,895",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,327",108,"3,961"
,,,,관내사전투표,"2,360","2,359","1,396",933,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,337",22,1
,,,,다산동제1투,"1,904",910,431,449,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,22,994
,,,,다산동제2투,"2,311","1,240",595,605,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,213",27,"1,071"
,,,,다산동제3투,"1,831",912,471,419,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,14,919
,,,,다산동제4투,"1,990","1,014",493,489,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991,23,976
,,,약수동,소계,"13,692","9,633","4,622","4,815",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,502",131,"4,059"
,,,,관내사전투표,"3,767","3,767","2,081","1,626",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,730",37,0
,,,,약수동제1투,"1,275",541,251,275,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529,12,734
,,,,약수동제2투,"1,626",952,483,447,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937,15,674
,,,,약수동제3투,"2,585","1,627",589,"1,003",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,605",22,958
,,,,약수동제4투,"2,418","1,591",650,908,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,564",27,827
,,,,약수동제5투,"2,021","1,155",568,556,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,137",18,866
,,,청구동,소계,"10,525","7,391","3,643","3,589",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,290",101,"3,134"
,,,,관내사전투표,"2,430","2,430","1,444",944,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,405",25,0
,,,,청구동제1투,"1,055",530,277,240,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,9,525
,,,,청구동제2투,"1,460",659,321,316,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,15,801
,,,,청구동제3투,"1,899","1,351",521,796,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,328",23,548
,,,,청구동제4투,"1,492",987,453,511,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971,16,505
,,,,청구동제5투,"2,189","1,434",627,782,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,421",13,755
,,,신당제5동,소계,"8,765","5,497","3,020","2,362",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,420",77,"3,268"
,,,,관내사전투표,"2,730","2,730","1,657","1,032",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,708",22,0
,,,,신당제5동제1투,"1,762",729,364,342,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709,20,"1,033"
,,,,신당제5동제2투,"2,566","1,213",585,595,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,192",21,"1,353"
,,,,신당제5동제3투,"1,707",825,414,393,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,14,882
,,,동화동,소계,"8,194","5,860","2,885","2,887",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,802",58,"2,334"
,,,,관내사전투표,"2,815","2,813","1,587","1,197",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,795",18,2
,,,,동화동제1투,907,513,223,279,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506,7,394
,,,,동화동제2투,"1,464",890,343,530,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,12,574
,,,,동화동제3투,"1,687",988,408,565,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,12,699
,,,,동화동제4투,"1,321",656,324,316,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647,9,665
,,,황학동,소계,"10,653","6,491","3,489","2,859",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,395",96,"4,162"
,,,,관내사전투표,"2,373","2,372","1,433",904,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,347",25,1
,,,,황학동제1투,"3,347","1,546",783,718,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,517",29,"1,801"
,,,,황학동제2투,"2,157",909,487,397,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,17,"1,248"
,,,,황학동제3투,"2,776","1,664",786,840,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,639",25,"1,112"
,,,중림동,소계,"9,538","6,596","3,336","3,132",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,515",81,"2,942"
,,,,관내사전투표,"2,597","2,595","1,549","1,014",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,575",20,2
,,,,중림동제1투,"2,118","1,243",541,677,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,227",16,875
,,,,중림동제2투,"2,564","1,302",617,642,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,273",29,"1,262"
,,,,중림동제3투,"2,259","1,456",629,799,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,440",16,803
,,,금호1가동,소계,"11,237","7,450","3,739","3,595",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,374",76,"3,787"
,,,,관내사전투표,"2,415","2,415","1,458",934,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,401",14,0
,,,,금호1가동제1투,"1,619",789,384,395,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,8,830
,,,,금호1가동제2투,"2,586","1,584",769,782,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,564",20,"1,002"
,,,,금호1가동제3투,"2,825","1,693",713,943,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,666",27,"1,132"
,,,,금호1가동제4투,"1,792",969,415,541,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962,7,823
,,,금호2·3가동,소계,"17,199","11,372","5,782","5,391",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,235",137,"5,827"
,,,,관내사전투표,"4,327","4,327","2,588","1,688",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,295",32,0
,,,,금호2·3가동제1투,"3,064","1,584",719,835,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,563",21,"1,480"
,,,,금호2·3가동제2투,"2,675","1,405",675,702,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,386",19,"1,270"
,,,,금호2·3가동제3투,"2,683","1,329",640,649,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,299",30,"1,354"
,,,,금호2·3가동제4투,"2,179","1,487",594,857,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,461",26,692
,,,,금호2·3가동제5투,"2,271","1,240",566,660,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,231",9,"1,031"
,,,금호4가동,소계,"11,746","8,246","3,940","4,156",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,148",98,"3,500"
,,,,관내사전투표,"3,607","3,607","2,066","1,482",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,566",41,0
,,,,금호4가동제1투,"1,669",800,308,477,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791,9,869
,,,,금호4가동제2투,"2,211","1,375",561,789,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,358",17,836
,,,,금호4가동제3투,"2,082","1,097",487,580,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,078",19,985
,,,,금호4가동제4투,"2,177","1,367",518,828,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,355",12,810
,,,옥수동,소계,"19,976","13,874","5,761","7,916",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,751",123,"6,102"
,,,,관내사전투표,"4,900","4,898","2,489","2,362",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,870",28,2
,,,,옥수동제1투,"2,638","1,658",651,986,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,647",11,980
,,,,옥수동제2투,"2,358","1,219",406,791,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,203",16,"1,139"
,,,,옥수동제3투,"2,593","1,537",600,910,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,522",15,"1,056"
,,,,옥수동제4투,"2,489","1,351",407,922,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,335",16,"1,138"
,,,,옥수동제5투,"2,071","1,367",480,863,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,348",19,704
,,,,옥수동제6투,"2,927","1,844",728,"1,082",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,826",18,"1,083"
,,,잘못 투입·구분된 투표지,,0,5,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,-5
,용산구,용산구,,,,,"더불어민주당
강태웅","국민의힘
권영세","무소속
김정현",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,합계,,"188,998","130,243","60,473","66,583","1,536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"128,592","1,651","58,755"
,,,거소·선상투표,,197,185,77,93,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,10,12
,,,관외사전투표,,"16,779","16,769","9,086","7,262",227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,575",194,10
,,,국외부재자투표,,"1,298",930,530,376,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,9,368
,,,후암동,소계,"12,667","8,349","4,606","3,544",89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,239",110,"4,318"
,,,,관내사전투표,"3,918","3,918","2,415","1,450",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,890",28,0
,,,,후암동제1투,"2,510","1,343",704,600,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,323",20,"1,167"
,,,,후암동제2투,"1,908",866,457,379,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852,14,"1,042"
,,,,후암동제3투,"2,073","1,048",474,539,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,023",25,"1,025"
,,,,후암동제4투,"2,258","1,174",556,576,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,151",23,"1,084"
,,,용산2가동,소계,"7,601","4,724","2,536","2,055",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,649",75,"2,877"
,,,,관내사전투표,"2,323","2,323","1,405",873,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,294",29,0
,,,,용산2가동제1투,"1,679",783,383,372,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,15,896
,,,,용산2가동제2투,"1,295",563,253,294,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,11,732
,,,,용산2가동제3투,"1,111",509,234,254,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502,7,602
,,,,용산2가동제4투,"1,193",546,261,262,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,13,647
,,,남영동,소계,"6,093","3,520","1,805","1,595",55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,455",65,"2,573"
,,,,관내사전투표,"1,574","1,574",935,600,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,550",24,0
,,,,남영동제1투,"2,111",903,416,448,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,18,"1,208"
,,,,남영동제2투,"2,408","1,043",454,547,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,020",23,"1,365"
,,,청파동,소계,"15,281","9,356","5,499","3,584",124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,207",149,"5,925"
,,,,관내사전투표,"3,615","3,614","2,428","1,091",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,571",43,1
,,,,청파동제1투,"1,512",755,360,368,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,17,757
,,,,청파동제2투,"1,743",905,486,393,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,17,838
,,,,청파동제3투,"2,021",999,549,425,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983,16,"1,022"
,,,,청파동제4투,"2,512","1,211",628,549,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,192",19,"1,301"
,,,,청파동제5투,"2,051",962,533,392,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,17,"1,089"
,,,,청파동제6투,"1,827",910,515,366,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,20,917
,,,원효로제1동,소계,"14,012","9,675","4,910","4,508",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,539",136,"4,337"
,,,,관내사전투표,"4,563","4,561","2,705","1,766",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,521",40,2
,,,,원효로제1동제1투,"3,146","1,683",895,721,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,638",45,"1,463"
,,,,원효로제1동제2투,"2,305","1,282",468,772,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,261",21,"1,023"
,,,,원효로제1동제3투,"2,094","1,079",397,652,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,067",12,"1,015"
,,,,원효로제1동제4투,"1,904","1,070",445,597,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,052",18,834
,,,원효로제2동,소계,"10,628","7,300","3,599","3,528",76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,203",97,"3,328"
,,,,관내사전투표,"2,981","2,981","1,714","1,218",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,956",25,0
,,,,원효로제2동제1투,"2,980","1,792",714,"1,028",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,763",29,"1,188"
,,,,원효로제2동제2투,"2,233","1,259",550,679,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,240",19,974
,,,,원효로제2동제3투,"2,434","1,268",621,603,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,244",24,"1,166"
,,,효창동,소계,"8,665","6,232","3,220","2,848",78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,146",86,"2,433"
,,,,관내사전투표,"3,047","3,047","1,824","1,165",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,014",33,0
,,,,효창동제1투,"2,377","1,314",602,667,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,292",22,"1,063"
,,,,효창동제2투,"1,760","1,031",439,552,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,010",21,729
,,,,효창동제3투,"1,481",840,355,464,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,10,641
,,,용문동,소계,"9,567","6,906","3,588","3,143",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,814",92,"2,661"
,,,,관내사전투표,"3,320","3,320","1,967","1,281",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,292",28,0
,,,,용문동제1투,"2,257","1,152",592,520,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,127",25,"1,105"
,,,,용문동제2투,"1,843",979,451,497,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,19,864
,,,,용문동제3투,"2,147","1,455",578,845,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,435",20,692
